Pass #,AOS (UTC),LOS (UTC),TLE Epoch (UTC)
1,2026-03-29T20:56:12.192,2026-03-29T21:02:02.365,2026-03-29T20:46:12.192
2,2026-03-29T22:30:16.982,2026-03-29T22:35:44.272,2026-03-29T22:20:16.982
3,2026-03-30T10:03:09.146,2026-03-30T10:10:22.425,2026-03-30T09:53:09.146
4,2026-03-30T20:41:16.193,2026-03-30T20:45:18.792,2026-03-30T20:31:16.193
5,2026-03-30T22:13:38.664,2026-03-30T22:20:18.314,2026-03-30T22:03:38.664
6,2026-03-31T09:47:25.648,2026-03-31T09:53:56.341,2026-03-31T09:37:25.648
7,2026-03-31T11:22:10.209,2026-03-31T11:26:37.172,2026-03-31T11:12:10.209
8,2026-03-31T21:57:11.142,2026-03-31T22:04:27.853,2026-03-31T21:47:11.142
9,2026-04-01T09:31:51.505,2026-04-01T09:36:59.317,2026-04-01T09:21:51.505
10,2026-04-01T11:05:17.587,2026-04-01T11:11:21.267,2026-04-01T10:55:17.587
11,2026-04-01T21:40:49.684,2026-04-01T21:48:17.517,2026-04-01T21:30:49.684
12,2026-04-02T09:17:03.835,2026-04-02T09:18:54.000,2026-04-02T09:07:03.835
13,2026-04-02T10:48:35.138,2026-04-02T10:55:33.247,2026-04-02T10:38:35.138
14,2026-04-02T21:24:33.571,2026-04-02T21:31:48.982,2026-04-02T21:14:33.571
15,2026-04-03T10:31:56.528,2026-04-03T10:39:21.233,2026-04-03T10:21:56.528
16,2026-04-03T21:08:24.532,2026-04-03T21:15:02.076,2026-04-03T20:58:24.532
17,2026-04-03T22:43:54.582,2026-04-03T22:47:31.481,2026-04-03T22:33:54.582
18,2026-04-04T10:15:20.091,2026-04-04T10:22:47.168,2026-04-04T10:05:20.091
19,2026-04-04T20:52:26.856,2026-04-04T20:57:52.654,2026-04-04T20:42:26.856
20,2026-04-04T22:26:03.421,2026-04-04T22:31:50.292,2026-04-04T22:16:03.421
21,2026-04-05T09:58:46.353,2026-04-05T10:05:50.387,2026-04-05T09:48:46.353
22,2026-04-05T11:34:45.571,2026-04-05T11:36:53.702,2026-04-05T11:24:45.571
23,2026-04-05T20:36:58.415,2026-04-05T20:40:03.037,2026-04-05T20:26:58.415
24,2026-04-05T22:08:39.171,2026-04-05T22:15:30.505,2026-04-05T21:58:39.171
25,2026-04-06T09:42:18.640,2026-04-06T09:48:27.377,2026-04-06T09:32:18.640
26,2026-04-06T11:16:33.741,2026-04-06T11:21:39.006,2026-04-06T11:06:33.741
27,2026-04-06T21:51:26.467,2026-04-06T21:58:47.418,2026-04-06T21:41:26.467
28,2026-04-07T09:26:08.482,2026-04-07T09:30:26.356,2026-04-07T09:16:08.482
29,2026-04-07T10:58:58.770,2026-04-07T11:05:26.559,2026-04-07T10:48:58.770
30,2026-04-07T21:34:21.465,2026-04-07T21:41:44.881,2026-04-07T21:24:21.465
31,2026-04-08T10:41:32.402,2026-04-08T10:48:44.614,2026-04-08T10:31:32.402
